person_x,kinsman,person_gender,kinsman_gender,ontology_kinship
"Romanos Dalassenos, katepano of Iberia",Konstantinos Dalassenos,Male,Male,BrotherOf
"Romanos Skleros, brother of Maria Skleraina","Maria Skleraina, mistress of Konstantinos IX",Male,Female,BrotherOf
"Samuel Alousianos, military commander","first wife of Romanos IV, sister of Samuel Alousianos",Male,Female,BrotherOf
"Sergios, brother of Symbatios Pakourianos","Symbatios Pakourianos, kouropalates and patron of Iveron",Male,Male,BrotherOf
"Stephanos, father of Michael V","Ioannes the Orphanotrophos, brother of Michael IV",Male,Eunuch,BrotherOf
"Stephanos Kontostephanos, nobelissimos, brother of Isaakios","Isaakios Kontostephanos, protonobelissimos and megas doux",,,BrotherOf
"Stephanos, hegoumenos of Iveron","Ioannes, monk at Iveron and chartoularios of the Great Church",Male,Male,BrotherOf
"Symbatios Pakourianos, kouropalates and patron of Iveron","Sergios, brother of Symbatios Pakourianos",Male,Male,BrotherOf
"Theodoros Smyrnaios, hypatos of the philosophers","Paulos Smyrnaios, brother of Theodoros",Male,Male,BrotherOf
"Theodoros Nikoulitzas, brother of Nikoulitzas Delphinas","Nikoulitzas Delphinas, official at Larissa",Male,Male,BrotherOf
"Theodoros, paroikos at proasteion of Eunouchou (Strymon)","David, priest and paroikos at proasteion of Eunouchou (Strymon)",Male,Male,BrotherOf
"Theophylaktos Dalassenos, anthypatos patrikios vestes and doux of Antioch",Konstantinos Dalassenos,Male,Male,BrotherOf
"Theophylaktos, archbishop of Ohrid","Demetrios Hephaistos, brother of Theophylaktos of Ohrid",Male,Male,BrotherOf
"Theophylaktos, archbishop of Ohrid",brother of Theophylaktos of Ohrid,Male,Male,BrotherOf
"Tughrul Beg, Seljuk Sultan",brother of Tughrul Beg (Baihnu Israil Arslan?),Male,Male,BrotherOf
Michael Anemas,"Anemas, one of conspirators against Alexios I",Male,Male,BrotherOf
Michael Anemas,"Anemas, another of conspirators against Alexios I",Male,Male,BrotherOf
Michael Anemas,"Leon Anemas, one of conspirators against Alexios I",Male,Male,BrotherOf
priest (in the household?) of Michael Psellos,brother of priest in household (?) of Michael Psellos,Male,Male,BrotherOf
brother of priest in household (?) of Michael Psellos,priest (in the household?) of Michael Psellos,Male,Male,BrotherOf
"Georgios, mentioned in synodal decision","Nikolaos, mentioned in synodal decision",Male,Male,BrotherOf
"Nikolaos, mentioned in synodal decision","Georgios, mentioned in synodal decision",Male,Male,BrotherOf
"Andronikos Komnenos, son of Alexios I",Emperor Ioannes II Komnenos,Male,Male,BrotherOf
"Ioannes Mauropous, metropolitan of Euchaita",brother of Ioannes Mauropous,Male,Male,BrotherOf
"Ioannes Mauropous, metropolitan of Euchaita",brother of Ioannes Mauropous,Male,Male,BrotherOf
"Ioannes Mauropous, metropolitan of Euchaita",krites of Kibyrraioton,Male,Male,BrotherOf
"Isaakios Komnenos, son of Alexios I",Emperor Ioannes II Komnenos,Male,Male,BrotherOf
brother of monk Theodoulos of Galesion,"Theodoulos Raphis/Arrostos, monk on Galesion",Male,Male,BrotherOf
brother of monk Neophytos of Galesion,"Neophytos, monk on Mount Galesion",Male,Male,BrotherOf
"Hilarios, monk on Mount Koumaron","Leontios, monk on Mount Koumaron",Male,Male,BrotherOf
"Ignatios, brother of Lazaros of Galesion",Lazaros of Mount Galesion,Male,Male,BrotherOf
Lazaros of Mount Galesion,"Ignatios, brother of Lazaros of Galesion",Male,Male,BrotherOf
"Lazaros Kontos, monk on Mount Galesion","Nikolaos, monk on Mount Galesion",Male,Male,BrotherOf
"Leontios, monk on Mount Koumaron","Hilarios, monk on Mount Koumaron",Male,Male,BrotherOf
"Neophytos, monk on Mount Galesion",brother of monk Neophytos of Galesion,Male,Male,BrotherOf
"Nikolaos, monk on Mount Galesion","Lazaros Kontos, monk on Mount Galesion",Male,Male,BrotherOf
"Theodoulos Raphis/Arrostos, monk on Galesion",brother of monk Theodoulos of Galesion,Male,Male,BrotherOf
"Katakalon Tarchaneiotes, doux of Antioch","Helena Tarchaniotissa, sister of katepano of Adrianople",Male,Female,BrotherOf
brother of Tughrul Beg (Baihnu Israil Arslan?),"Tughrul Beg, Seljuk Sultan",Male,Male,BrotherOf
"Taj al-Dawla Tutush, brother of sultan Malik-Shah","Malik-Shah, Seljuk sultan",,Male,BrotherOf
Mansur ibn Qutlumish,Sulayman ibn Qutlumish,Male,Male,BrotherOf
"Manuel Basilakes, brother of Nikephoros Basilakes","Nikephoros Basilakes, usurper [1078]",Male,Male,BrotherOf
Sulayman ibn Qutlumish,Mansur ibn Qutlumish,Male,Male,BrotherOf
"Achsartanes, governor of Peritheorion","Apasios, landowner at Peritheorion",Male,Male,BrotherOf
father of Gregorios Pakourianos,"Chosrienes, uncle of Gregorios Pakourianos",Male,Male,BrotherOf
"Apasios, brother of Gregorios Pakourianos","Gregorios Pakourianos, megas domestikos",Male,Male,BrotherOf
"Apasios, landowner at Peritheorion","Achsartanes, governor of Peritheorion",Male,Male,BrotherOf
"Chosrienes, uncle of Gregorios Pakourianos",father of Gregorios Pakourianos,Male,Male,BrotherOf
Shibl al-Dawla Abu Kamil Nasr ibn Salih ibn Mirdas,"Mu'izz al-Dawla Thimal, Mirdasid lord of Aleppo",Male,,BrotherOf
"Sinan ibn 'Ulyan, amir of Kalb Arabs",sister of Sinan ibn 'Ulyan,Male,,BrotherOf
"Georgios Sideras, paroikos at Galaides (Meander valley)","Leon, paroikos at Galaides (Meander valley)",Male,Male,BrotherOf
son of Kyrillos Phileotes,daughter of Kyrillos Phileotes,Male,Female,BrotherOf
"Kyrillos Phileotes, holy man at Derkos (Thrace)","Michael/Matthaios, brother of Kyrillos Phileotes",Male,Male,BrotherOf
"Michael/Matthaios, brother of Kyrillos Phileotes","Kyrillos Phileotes, holy man at Derkos (Thrace)",Male,Male,BrotherOf
"Konstantinos Kaballoures, vestarches and landowner at Strobilos","Maria Kaballourina, founder of Timios Prodromos at Strobilos",Male,Female,BrotherOf
"Leon, paroikos at Galaides (Meander valley)","Georgios Sideras, paroikos at Galaides (Meander valley)",Male,Male,BrotherOf
"Timotheos, monk at Iveron on Athos","Ignatios, monk at Iveron on Athos",Male,Male,BrotherOf
"Ioannes, landowner at Thessalonike","Maria, landowner at Thessalonike",Male,Female,BrotherOf
"Ignatios, monk at Iveron on Athos","Timotheos, monk at Iveron on Athos",Male,Male,BrotherOf
"István II, king of Hungary","Álmos, brother of István II of Hungary",Male,Male,BrotherOf
elder brother of Michael Keroularios,"Michael I Keroularios, patriarch of Constantinople",Male,Male,BrotherOf
brother of Ioannes Mauropous,"Ioannes Mauropous, metropolitan of Euchaita",Male,Male,BrotherOf
"brother of Theodote, mother of Michael Psellos","Theodote, mother of Michael Psellos",Female,Female,BrotherOf
younger brother of Firuz of Antioch,"Firuz (or al-Zarrad or Ruzbah), betrayer of Antioch",Male,Male,BrotherOf
brother of notarios of the eidikon Symeon,"Symeon, notarios of the eidikon",Male,Male,BrotherOf
Theodoros Leobachos,Nikolaos brother of Theodoros Leobachos,Male,Male,BrotherOf
Nikolaos brother of Theodoros Leobachos,Theodoros Leobachos,Male,Male,BrotherOf
"Leon abydikos, brother of Democharis","Democharis, droungarios",Male,Female,BrotherOf
Leon Kymas,brother of Leon Kymas,Male,Male,BrotherOf
"Democharis, droungarios","Leon abydikos, brother of Democharis",Female,Male,BrotherOf
brother of Leon Kymas,Leon Kymas,Male,Male,BrotherOf
"William of Hauteville, Bras de fer","Drogo of Hauteville, count of Apulia",Male,Male,BrotherOf
"Romuald, archbishop of Bari","Petros, brother of Romoaldus, Archbishop of Bari",Male,Male,BrotherOf
"Petros, brother of Romoaldus, Archbishop of Bari","Romuald, archbishop of Bari",Male,Male,BrotherOf
Ermengald of Rousillion,"Geoffrey, count of Rousillion",Male,Male,BrotherOf
Ermengald of Rousillion,"brother of Geoffrey, count of Rousillon",Male,Male,BrotherOf
"Humphrey of Hauteville, count of Apulia","Drogo of Hauteville, count of Apulia",Male,Male,BrotherOf
"Humphrey of Hauteville, count of Apulia",Robert Guiscard,Male,Male,BrotherOf
"Drogo of Hauteville, count of Apulia","William of Hauteville, Bras de fer",Male,Male,BrotherOf
"Drogo of Hauteville, count of Apulia","Humphrey of Hauteville, count of Apulia",Male,Male,BrotherOf
"brother of Geoffrey, count of Rousillon",Ermengald of Rousillion,Male,Male,BrotherOf
"brother of Geoffrey, count of Rousillon","Geoffrey, count of Rousillion",Male,Male,BrotherOf
"Bourtzes (Ioannes?), correspondent of Michael Psellos",brother of (Ioannes?) Bourtzes,Male,Male,BrotherOf
brother of (Ioannes?) Bourtzes,"Bourtzes (Ioannes?), correspondent of Michael Psellos",Male,Male,BrotherOf
"Manuel eldest son of Andronikos I, sebastokrator","Ioannes, second son of Andronikos I, co-emperor",Male,,BrotherOf
"Hugh, prominent baron in the army of Bohemond in Epiros","Richard, prominent baron in the army of Bohemond in Epiros",,,BrotherOf
"Geoffrey, count of Rousillion",Ermengald of Rousillion,Male,Male,BrotherOf
"Geoffrey, count of Rousillion","brother of Geoffrey, count of Rousillon",Male,Male,BrotherOf
Aubrey of Grandmesnil,William of Grandmesnil,Male,Male,BrotherOf
Aubrey of Grandmesnil,Ivo of Grandmesnil,Male,Male,BrotherOf
"Baldwin of Boulogne, Baldwin I, king of Jerusalem","Godfrey of Bouillon, duke of Lower Lorraine, first Latin ruler of Jerusalem",Male,Male,BrotherOf
"Baldwin of Boulogne, Baldwin I, king of Jerusalem","Eustace III, count of Boulogne",Male,Male,BrotherOf
"Baldwin of Bourcq, Baldwin II, king of Jerusalem","Cecilia of Bourcq, sister of Baldwin II, wife of Roger of Antioch",Male,,BrotherOf
"Bursuq ibn Bursuq, isbasalar of the Seljuq Sultan",Zanki b. Bursuq,Male,,BrotherOf
Engilbert of Tournai,Lethold of Tournai,Male,Male,BrotherOf
"Eustace III, count of Boulogne","Godfrey of Bouillon, duke of Lower Lorraine, first Latin ruler of Jerusalem",Male,Male,BrotherOf
"Eustace III, count of Boulogne","Baldwin of Boulogne, Baldwin I, king of Jerusalem",Male,Male,BrotherOf
"Firuz (or al-Zarrad or Ruzbah), betrayer of Antioch",younger brother of Firuz of Antioch,Male,Male,BrotherOf
"Godfrey of Bouillon, duke of Lower Lorraine, first Latin ruler of Jerusalem","Baldwin of Boulogne, Baldwin I, king of Jerusalem",Male,Male,BrotherOf
"Godfrey of Bouillon, duke of Lower Lorraine, first Latin ruler of Jerusalem","Eustace III, count of Boulogne",Male,Male,BrotherOf
"Godfrey of Bouillon, duke of Lower Lorraine, first Latin ruler of Jerusalem",(?) William of Boulogne (?),Male,Male,BrotherOf
Godfrey of Esch,Henry of Esch,Male,Male,BrotherOf
"Godfrey Struma (the Hunchback), duke of Lorraine","Ida of Lorraine, mother of Godfrey of Bouillon",Male,Female,BrotherOf
Gozelo of Montaigu,Lambert of Montaigu,Male,Male,BrotherOf
Guy of Hauteville,Bohemond of Taranto,Male,Male,BrotherOf
Guy of Hauteville,second sister of Bohemond of Taranto,Male,Female,BrotherOf
Henry of Esch,Godfrey of Esch,Male,Male,BrotherOf
"Henry, brother of Raymond of Poitiers","Raymond of Poitiers, prince of Antioch",Male,,BrotherOf
"Hugh of Vermandois, brother of Philip I of France","Philip I, king of France",Male,Male,BrotherOf
"Hugh of Fauquembergues (of St Omer), lord of Tiberias",Gerard of Fauquembergues,Male,Male,BrotherOf
Hugh of Lusignan,"Raymond of Saint-Gilles, count of Toulouse",Male,Male,BrotherOf
Ivo of Grandmesnil,William of Grandmesnil,Male,Male,BrotherOf
Ivo of Grandmesnil,Aubrey of Grandmesnil,Male,Male,BrotherOf
"Joscelin I of Courtenay, count of Edessa","Geoffrey Chatpalu, brother of Joscelin of Courtenay",Male,,BrotherOf
Kogh Vasil,Pakrad the Armenian,Male,Male,BrotherOf
"Konstantinos, ruler of Gargar","Taphnuz, father-in-law of Baldwin I of Jerusalem",Male,Male,BrotherOf
Lambert of Montaigu,Gozelo of Montaigu,Male,Male,BrotherOf
Lethold of Tournai,Engilbert of Tournai,Male,Male,BrotherOf
Pakrad the Armenian,Kogh Vasil,Male,Male,BrotherOf
"Peter, count of Astenois","Rainald III, count of Toul",Male,Male,BrotherOf
"Philip I, king of France","Hugh of Vermandois, brother of Philip I of France",Male,Male,BrotherOf
Rainald of the Principate,Richard of the Principate,Male,Male,BrotherOf
"Raymond of Saint-Gilles, count of Toulouse",Hugh of Lusignan,Male,Male,BrotherOf
"Rainald III, count of Toul","Peter, count of Astenois",Male,Male,BrotherOf
Richard of the Principate,Rainald of the Principate,Male,Male,BrotherOf
Richard of the Principate,"Tancred, brother of Richard of the Principate",Male,,BrotherOf
"Roger of Salerno, prince (regent?) of Antioch","(Maria), sister of Roger of Salerno, wife of Joscelin I of Edessa",Male,,BrotherOf
Roger I of Sicily,Robert Guiscard,Male,Male,BrotherOf
"Stephen, count of Burgundy","Rainald, count of Burgundy",Male,Male,BrotherOf
"Taphnuz, father-in-law of Baldwin I of Jerusalem","Konstantinos, ruler of Gargar",Male,Male,BrotherOf
"Tancred of Hauteville, nephew of Bohemond of Taranto","William, brother of Tancred of Hauteville",Male,Male,BrotherOf
"Tancred of Hauteville, nephew of Bohemond of Taranto",sister of Tancred,Male,Male,BrotherOf
"Tancred of Hauteville, nephew of Bohemond of Taranto","Robert, brother of Tancred of Hauteville",Male,,BrotherOf
(?) William of Boulogne (?),"Godfrey of Bouillon, duke of Lower Lorraine, first Latin ruler of Jerusalem",Male,Male,BrotherOf
"William of Bures, lord of Tiberias",Godfrey of Bures,Male,,BrotherOf
"William X, count of Poitou","Raymond of Poitiers, prince of Antioch",,,BrotherOf
"William, brother of Tancred of Hauteville","Tancred of Hauteville, nephew of Bohemond of Taranto",Male,Male,BrotherOf
William of Grandmesnil,Aubrey of Grandmesnil,Male,Male,BrotherOf
William of Grandmesnil,Ivo of Grandmesnil,Male,Male,BrotherOf
Najm al-Din Ilghazi ibn Artuq,"sister of Ilghazi ibn Artuq, wife of Yinal ibn Anushtakin",Male,,BrotherOf
brother of fleet commander and governor of Smyrna Kaspax,"Kaspax, fleet commander and governor of Smyrna",Male,Male,BrotherOf
"Robert, count of Loritello, brother [in fact nephew] of Robert Guiscard",Robert Guiscard,,Male,BrotherOf
"Anemas, one of conspirators against Alexios I","Anemas, another of conspirators against Alexios I",Male,Male,BrotherOf
"Anemas, one of conspirators against Alexios I","Leon Anemas, one of conspirators against Alexios I",Male,Male,BrotherOf
"Anemas, one of conspirators against Alexios I",Michael Anemas,Male,Male,BrotherOf
"Anemas, another of conspirators against Alexios I","Anemas, one of conspirators against Alexios I",Male,Male,BrotherOf
"Anemas, another of conspirators against Alexios I","Leon Anemas, one of conspirators against Alexios I",Male,Male,BrotherOf
"Anemas, another of conspirators against Alexios I",Michael Anemas,Male,Male,BrotherOf
"Kaspax, fleet commander and governor of Smyrna",brother of fleet commander and governor of Smyrna Kaspax,Male,Male,BrotherOf
"Abul-Kasim, Turkish amir of Nicaea","Poulchases, Turkish commander (perhaps Abul-Gazi), brother of Abul-Kasim",Male,Male,BrotherOf
Qilij Arslan ibn Sulayman ibn Qutlumish,sister of Seljuk sultan Kilic Arslan I,Male,Female,BrotherOf
"Leon Diogenes, son of Romanos IV and Eudokia Makrembolitissa","Nikephoros Diogenes, son of Romanos IV",Male,Female,BrotherOf
"Leon Diogenes, son of Romanos IV and Eudokia Makrembolitissa",Emperor Michael VII Doukas,Male,Male,BrotherOf
"Leon Anemas, one of conspirators against Alexios I","Anemas, one of conspirators against Alexios I",Male,Male,BrotherOf
"Leon Anemas, one of conspirators against Alexios I","Anemas, another of conspirators against Alexios I",Male,Male,BrotherOf
"Leon Anemas, one of conspirators against Alexios I",Michael Anemas,Male,Male,BrotherOf
"Malik-Shah, Seljuk sultan","Taj al-Dawla Tutush, brother of sultan Malik-Shah",Male,,BrotherOf
"Poulchases, Turkish commander (perhaps Abul-Gazi), brother of Abul-Kasim","Abul-Kasim, Turkish amir of Nicaea",Male,Male,BrotherOf
"Raoul, son of Dagobert, envoy of Robert Guiscard to Nikephoros III","Roger, son of Dagobert, military commander and envoy",Male,Male,BrotherOf
"Roger, son of Dagobert, military commander and envoy","Raoul, son of Dagobert, envoy of Robert Guiscard to Nikephoros III",Male,Male,BrotherOf
"Chaldos, patrikios","Gregorios, bishop and brother of the patrikios Chaldos",Male,Male,BrotherOf
Galatas,sister of Galatas (or Kampanarios ?),Male,Female,BrotherOf
"missing legatee, son of a dying man",sister of a missing legatee,Male,Female,BrotherOf
"Katananges, whose brother was accused of rape","Katananges' brother, accused of rape",Male,Male,BrotherOf
"Katananges' brother, accused of rape","Katananges, whose brother was accused of rape",Male,Male,BrotherOf
"Basileios, brother of Georgios","Georgios, brother of Basileios",Male,Male,BrotherOf
"Demetrios, brother of Ioannes and husband of Maria","Ioannes, brother of Demetrios",Male,Male,BrotherOf
"Georgios, brother of Basileios","Basileios, brother of Georgios",Male,Male,BrotherOf
"Gregorios, bishop and brother of the patrikios Chaldos","Chaldos, patrikios",Male,Male,BrotherOf
"Ioannes, brother of Demetrios","Demetrios, brother of Ioannes and husband of Maria",Male,Male,BrotherOf
unidentified brother of Michael IV,Emperor Michael IV Paphlagon,Male,Male,BrotherOf
brother of Armenian archbishop Samuel,"Samuel, Armenian archbishop",Male,Male,BrotherOf
brother of Armenian heretic Vrverhh,"Vrverh, Armenian leader and heretic",Male,Male,BrotherOf
"Ashot IV the Brave, king of Armenia","Ioannes Smbat, king of Armenia",Male,Male,BrotherOf
"David of Dvin, brother-in-law of Gagik II","wife of Gagik II, sister of David of Dvin",Male,Female,BrotherOf
"Xach'ik I Anec'i, Armenian katholikos","Ananias, brother of Armenian katholikos Gagik/Xac'ik I Anec'i",Male,Male,BrotherOf
"Petros/Peter Getadarj, katholikos of Armenia",sister of katholikos Peter Getadarj,Male,Female,BrotherOf
"Samuel, Armenian archbishop",brother of Armenian archbishop Samuel,Male,Male,BrotherOf
"Vrverh, Armenian leader and heretic",brother of Armenian heretic Vrverhh,Male,Male,BrotherOf
"Germanos, hegoumenos of Theotokos Katadaimonon on Athos","Petros, hegoumenos of Theotokos Katadaimonon on Athos",Male,Male,BrotherOf
"Petros, hegoumenos of Theotokos Katadaimonon on Athos","Germanos, hegoumenos of Theotokos Katadaimonon on Athos",Male,Male,BrotherOf
brother of Ioannes Mauropous,"Ioannes Mauropous, metropolitan of Euchaita",Male,Male,BrotherOf
"Radenos, brother of zoste Anna Radene","Anna Radene, patrikia zoste",Male,Female,BrotherOf
krites of Thrakesion whose brother later held the same post,krites of Thrakesion whose brother had held the same post,Male,Male,BrotherOf
krites of Thrakesion whose brother had held the same post,krites of Thrakesion whose brother later held the same post,Male,Male,BrotherOf
"Leon, kouboukleisios","Michael, brother of kouboukleisios Leon",Male,Male,BrotherOf
"Michael, brother of kouboukleisios Leon","Leon, kouboukleisios",Male,Male,BrotherOf
"Symeon, notarios of the eidikon",brother of notarios of the eidikon Symeon,Male,Male,BrotherOf
"Albert, count of Biandrate","Guy, brother of Albert of Biandrate",Male,Male,BrotherOf
"Albert, count of Biandrate",sister of Albert of Biandrate,Male,Female,BrotherOf
"amir of Damascus, brother of Suqman ibn Artuq (mythical)","Suqman ibn Artuq, ex-ruler of Jerusalem",Male,Male,BrotherOf
"Eystein Magnusson, King of Norway","Sigurd I Magnusson, King of Norway",Male,Male,BrotherOf
"Atenellus (Thoros?), brother of Leo","Leon, brother of Atenellus",Male,Male,BrotherOf
"Conrad, once constable of the western emperor Henry IV","sister of Conrad, constable of the emperor Henry III",Male,Female,BrotherOf
Gerard of Fauquembergues,"Hugh of Fauquembergues (of St Omer), lord of Tiberias",Male,Male,BrotherOf
"Guy, brother of Albert of Biandrate","Albert, count of Biandrate",Male,Male,BrotherOf
"Leon, brother of Atenellus","Atenellus (Thoros?), brother of Leo",Male,Male,BrotherOf
"Sigurd I Magnusson, King of Norway","Eystein Magnusson, King of Norway",Male,Male,BrotherOf
"Rainald, count of Burgundy","Stephen, count of Burgundy",Male,Male,BrotherOf
"Robert, brother of William of Nevers","William II, count of Nevers",Male,Male,BrotherOf
"Suqman ibn Artuq, ex-ruler of Jerusalem","amir of Damascus, brother of Suqman ibn Artuq (mythical)",Male,Male,BrotherOf
"Suqman ibn Artuq, ex-ruler of Jerusalem","Shams al-Dawla Chokurmish, Turkish ruler of Mosul",Male,Male,BrotherOf
Udelard of Wissant,sister of Udelard of Wissant,Male,Female,BrotherOf
"William II, count of Nevers","Robert, brother of William of Nevers",Male,Male,BrotherOf
maternal uncle of Nikephoros Basilakes,mother of Nikephoros Basilakios,,,BrotherOf
"brother of Scythian woman, mother of Bagoas","Scythian woman, mother of Bagoas",,,BrotherOf
brother of Nikephoros Basilakes,"Nikephoros Basilakios, writer involved in doctrinal disputes",,,BrotherOf
"Georgios Tornikes, man of letters and metropolitan of Ephesos","Demetrios Tornikes, sebastos and epi tou kanikleiou",,,BrotherOf
"Georgios Tornikes, man of letters and metropolitan of Ephesos","Leon Tornikes, brother of Georgios",,,BrotherOf
"Georgios Tornikes, man of letters and metropolitan of Ephesos",third brother of Georgios Tornikes,,,BrotherOf
"Konstantinos Doukas, sebastos, brother of Eirene Doukaina","Eirene Doukaina, wife of Alexios I",,Female,BrotherOf
"Stephanos Doukas, sebastos, brother of Eirene Doukaina","Eirene Doukaina, wife of Alexios I",,Female,BrotherOf
'Izz al-Din Abu l-'Asakir Sultan,"Majd al-Din Abu Salama Murshid, father of Usama",,,BrotherOf
"Mu'izz al-Dawla Thimal, Mirdasid lord of Aleppo",Shibl al-Dawla Abu Kamil Nasr ibn Salih ibn Mirdas,,Male,BrotherOf
"Aaron, leader of a plot against Alexios I","Theodoros, brother of Aaron, leader of a plot against Alexios I",,,BrotherOf
"Theodoros, brother of Aaron, leader of a plot against Alexios I","Aaron, leader of a plot against Alexios I",,,BrotherOf
"Richard, prominent baron in the army of Bohemond in Epiros","Hugh, prominent baron in the army of Bohemond in Epiros",,,BrotherOf
"Robert, brother of Tancred of Hauteville","Tancred of Hauteville, nephew of Bohemond of Taranto",,Male,BrotherOf
"Mawdud ibn Isma'il, ruler of part of Azerbayjan","Wife of caliph Muhammad, sister of Mawdud ibn Isma'il",,,BrotherOf
Emperor Romanos III Argyros,"Poulcheria (Argyropoulina), sister of Romanos III",Male,Female,BrotherOf
Emperor Romanos III Argyros,"Basileios Argyros, brother of Romanos III",Male,Male,BrotherOf
Emperor Romanos III Argyros,"sister of Romanos III, wife of Konstantinos Karantenos",Male,Female,BrotherOf
Boleslav III,"Jaromír, duke of Bohemia",,,BrotherOf
"Jaromír, duke of Bohemia",Boleslav III,,,BrotherOf
Emperor Konstantinos VIII,"Eudokia, daughter of Konstantinos VIII",Male,Female,FatherOf
Emperor Konstantinos VIII,Empress Theodora,Male,Female,FatherOf
Emperor Konstantinos VIII,Empress Zoe,Male,Female,FatherOf
"Aaron, brother of Alousianos","Theodoros, governor of Taron, son of Aaron",Male,Male,FatherOf
"Abasgos, servant of Eustathios Boilas","Georgios, in household of Eustathios Boilas",Male,Male,FatherOf
"Ibrahim Yinal, half-brother of Tughrul Beg","Melech, son of Ibrahim Yinal",Male,Male,FatherOf
"Agathonikos, father of Iveron act witness Ioannes","Ioannes, witness of Iveron act",Male,Male,FatherOf
"Aleim, Arab commander of the fort of Berkri","son of Aleim, the commander of the fort of Berkrin",Male,Male,FatherOf
Emperor Alexios I Komnenos,Emperor Ioannes II Komnenos,Male,Male,FatherOf
Emperor Alexios I Komnenos,"Anna Komnene, daughter of Alexios I and historian",Male,Female,FatherOf
Emperor Alexios I Komnenos,"Andronikos Komnenos, son of Alexios I",Male,Male,FatherOf
Emperor Alexios I Komnenos,"Isaakios Komnenos, son of Alexios I",Male,Male,FatherOf
Emperor Alexios I Komnenos,"Maria, daughter of Alexios I Komnenos",Male,Female,FatherOf
Emperor Alexios I Komnenos,"Eudokia, daughter of Alexios I Komnenos",Male,Female,FatherOf
Emperor Alexios I Komnenos,"Theodora, daughter of Alexios I Komnenos",Male,Female,FatherOf
Emperor Alexios I Komnenos,"Zoe, daughter of Alexios I Komnenos",Male,Female,FatherOf
Emperor Alexios I Komnenos,"Manuel Komnenos, son of Alexios I",Male,Male,FatherOf
"Alp Arslan, Seljuk Sultan",child (daughter?) of Alp Arslan,Male,Female,FatherOf
"Alypios, father-in-law of Konstantinos VIII","Helena, wife of Konstantinos VIII",Male,Female,FatherOf
"Amer, amir of Egypt","son of Amer, amir of Egypt",Male,Male,FatherOf
"Anastasios, logothetes","Michael, doux of Dyrrachion in 1042",Male,Male,FatherOf
"Andronikos Doukas, son of the kaisar Ioannes","Ioannes Doukas, brother of Eirene Doukaina",Male,Male,FatherOf
"Andronikos Doukas, son of the kaisar Ioannes","Michael Doukas, brother of Eirene Doukaina",Male,,FatherOf
"Andronikos Doukas, son of the kaisar Ioannes","Anna Doukaina, sister of Eirene Doukaina and wife of Georgios Palaiologos",Male,Female,FatherOf
"Andronikos Doukas, son of the kaisar Ioannes","Eirene Doukaina, wife of Alexios I",Male,Female,FatherOf
"Andronikos Doukas, son of the kaisar Ioannes","Theodora, sister of Eirene Doukaina",Male,Female,FatherOf
Armenian peasant who helped Joscelin of Edessa,noisy daughter of Armenian who helped Joscelin,,,FatherOf
"prince of Salerno, father-in-law of Robert Guiscard","Gaita/Sykelgaite, second wife of Robert Guiscard",Male,Female,FatherOf
Seljuk sultan (Alp Arslan?),Seljuk sultan (Malik-shah?),Male,Male,FatherOf
Arab ruler of Aleppo (Salih b. Mirdas?),"Amer, son of the ruler of Aleppo",Male,Male,FatherOf
Arab ruler of Aleppo,"Amer, son of the ruler of Aleppo",Male,Male,FatherOf
kral of Hungary,"daughter of the Hungarian kral, first wife of Radomir of Bulgaria",Male,Female,FatherOf
"Lampros, father of the strategos of Melitene Leon","Leon, strategos of Melitene in 1043",Male,Male,FatherOf
"Skleros, father of Maria Skleraina","Maria Skleraina, mistress of Konstantinos IX",Male,Female,FatherOf
"Arslan-Israil b. Seljuk, father of Kutulmush","Qutlumish, cousin of Tughrul Beg",Male,Male,FatherOf
Bryennios the ethnarches,Nikephoros Bryennios usurper [1077],Male,Male,FatherOf
"uncle of Konstantinos IX, father of Theodosios Monomachos","Theodosios Monomachos, cousin of Konstantinos IX",Male,Male,FatherOf
"Kekaumenos, author of the Strategikon",son of Kekaumenos,Male,Male,FatherOf
father of Kekaumenos (the author),"Kekaumenos, author of the Strategikon",Male,Male,FatherOf
"Nikoulitzas Delphinas, official at Larissa","Gregoras Nikoulitzas, son of Nikoulitzas Delphinas",Male,Male,FatherOf
"Nikoulitzas Delphinas, official at Larissa","Pankratios Nikoulitzas, son of Nikoulitzas Delphinas",Male,Male,FatherOf
father of Eustathios Boilas,Eustathios Boilas,Male,Male,FatherOf
father of Tornikios Kontoleon,"Tornikios Kontoleon, katepano of Italy, strategos of Hellas",Male,Male,FatherOf
"Teknodotes, father of protokentarchos Basileios","Basileios Teknodotes, protokentarchos of the strategos of Serres",Male,Male,FatherOf
"Karseres, father of archon of Sklaboarchontia Michael","Michael, archon of Sklaboarchontia",Male,Male,FatherOf
"Tzertitzas, father of priest Ioannes of Melitziane","Ioannes Tzertitzas, priest from village of Melitziane",Male,Male,FatherOf
"nomikos and father of Leon, witness of Iveron act","Leon, witness of Iveron act",Male,Male,FatherOf
"Xeropistares, father of Iveron act witness Stylianos","Stylianos, witness of Iveron act",Male,Male,FatherOf
"Ratzes, father of Iveron act witness Georgios","Georgios, witness of Iveron act",Male,Male,FatherOf
"Disypatos, father of the chartoularios Christophoros","Christophoros, chartoularios of the oikonomeion of Hagia Sophia",Male,Male,FatherOf
"Skrapos, father of Theodoros from Politziane (Strymon)","Theodoros tou Skrapou, villager from Politziane (Strymon)",Male,Male,FatherOf
